,date,count,platform
817,2021-04-17,194,4
818,2021-04-18,98,4
819,2021-04-19,242,4
820,2021-04-20,360,4
821,2021-04-21,345,4
822,2021-04-22,335,4
823,2021-04-23,355,4
824,2021-04-24,202,4
825,2021-04-25,110,4
826,2021-04-26,244,4
827,2021-04-27,351,4
828,2021-04-28,338,4
829,2021-04-29,329,4
830,2021-04-30,399,4
831,2021-05-01,145,4
832,2021-05-02,68,4
833,2021-05-03,213,4
834,2021-05-04,333,4
835,2021-05-05,305,4
836,2021-05-06,311,4
837,2021-05-07,344,4
838,2021-05-08,172,4
839,2021-05-09,76,4
840,2021-05-10,224,4
841,2021-05-11,338,4
842,2021-05-12,326,4
843,2021-05-13,317,4
844,2021-05-14,352,4
845,2021-05-15,173,4
846,2021-05-16,82,4
847,2021-05-17,236,4
848,2021-05-18,336,4
849,2021-05-19,313,4
850,2021-05-20,307,4
851,2021-05-21,349,4
852,2021-05-22,185,4
853,2021-05-23,90,4
854,2021-05-24,235,4
855,2021-05-25,324,4
856,2021-05-26,306,4
857,2021-05-27,314,4
858,2021-05-28,367,4
859,2021-05-29,186,4
860,2021-05-30,94,4
861,2021-05-31,271,4
862,2021-06-01,328,4
863,2021-06-02,325,4
864,2021-06-03,311,4
865,2021-06-04,348,4
866,2021-06-05,170,4
867,2021-06-06,81,4
868,2021-06-07,232,4
869,2021-06-08,336,4
870,2021-06-09,327,4
871,2021-06-10,310,4
872,2021-06-11,355,4
873,2021-06-12,167,4
874,2021-06-13,78,4
875,2021-06-14,227,4
876,2021-06-15,329,4
877,2021-06-16,335,4
878,2021-06-17,311,4
879,2021-06-18,351,4
880,2021-06-19,168,4
881,2021-06-20,87,4
882,2021-06-21,221,4
883,2021-06-22,317,4
884,2021-06-23,322,4
885,2021-06-24,304,4
886,2021-06-25,351,4
887,2021-06-26,177,4
888,2021-06-27,88,4
889,2021-06-28,259,4
890,2021-06-29,331,4
891,2021-06-30,338,4
892,2021-07-01,360,4
893,2021-07-02,366,4
894,2021-07-03,189,4
895,2021-07-04,111,4
896,2021-07-05,288,4
897,2021-07-06,364,4
898,2021-07-07,352,4
899,2021-07-08,381,4
900,2021-07-09,379,4
901,2021-07-10,187,4
902,2021-07-11,98,4
903,2021-07-12,296,4
904,2021-07-13,371,4
905,2021-07-14,363,4
906,2021-07-15,379,4
907,2021-07-16,372,4
908,2021-07-17,175,4
909,2021-07-18,101,4
910,2021-07-19,287,4
911,2021-07-20,365,4
912,2021-07-21,357,4
913,2021-07-22,386,4
914,2021-07-23,408,4
915,2021-07-24,188,4
916,2021-07-25,115,4
917,2021-07-26,333,4
918,2021-07-27,382,4
919,2021-07-28,367,4
920,2021-07-29,391,4
921,2021-07-30,415,4
922,2021-07-31,136,4
923,2021-08-01,120,4
924,2021-08-02,289,4
925,2021-08-03,396,4
926,2021-08-04,357,4
927,2021-08-05,385,4
928,2021-08-06,380,4
929,2021-08-07,207,4
930,2021-08-08,140,4
931,2021-08-09,305,4
932,2021-08-10,387,4
933,2021-08-11,358,4
934,2021-08-12,370,4
935,2021-08-13,392,4
936,2021-08-14,196,4
937,2021-08-15,120,4
938,2021-08-16,302,4
939,2021-08-17,377,4
940,2021-08-18,344,4
941,2021-08-19,376,4
942,2021-08-20,385,4
943,2021-08-21,206,4
944,2021-08-22,130,4
945,2021-08-23,309,4
946,2021-08-24,386,4
947,2021-08-25,354,4
958,2021-02-18,117,5
959,2021-02-20,2,5
960,2021-02-22,3,5
961,2021-02-23,3,5
962,2021-02-24,3,5
963,2021-02-26,4,5
964,2021-02-27,6,5
965,2021-02-28,5,5
966,2021-03-01,4,5
967,2021-03-04,111,5
968,2021-03-06,1,5
969,2021-03-09,2,5
970,2021-03-10,3,5
971,2021-03-11,3,5
